,BGC,idseq
358,JN581993,Cluster_0233218 Cluster_0330447 EC:5.1.3.26 Cluster_1673344 Cluster_0246763 Cluster_0750431 Cluster_0081322 Cluster_0589495 Cluster_0959889 Cluster_0152017 Cluster_0347624 Cluster_1523812 EC:3.6.3.40 Cluster_1574661 Cluster_0733106 Cluster_1192257 Cluster_0626058 Cluster_0179000 Cluster_0546719 EC:5.1.3.13 EC:2.7.7.24 EC:4.2.1.46 EC:3.6.1.41
359,JN581994,Cluster_0233218 Cluster_1538385 Cluster_0875339 Cluster_1673344 Cluster_1608203 Cluster_0750431 Cluster_0072342 Cluster_0849311 Cluster_0341619 Cluster_0667928 Cluster_1388674 Cluster_1523812 EC:3.6.3.40 Cluster_1256997 Cluster_0733106 Cluster_1192257 Cluster_1260795 Cluster_0179000 Cluster_0546719 EC:5.1.3.13 EC:2.7.7.24 EC:4.2.1.46 EC:3.6.1.41
360,JN581995,Cluster_0233218 Cluster_0330447 EC:5.1.3.26 Cluster_1673344 Cluster_0246763 Cluster_0750431 Cluster_0081322 Cluster_0589495 Cluster_0959889 Cluster_0152017 Cluster_0347624 Cluster_1523812 EC:3.6.3.40 Cluster_1574661 Cluster_0733106 Cluster_1192257 Cluster_0626058 Cluster_0179000 Cluster_0546719 EC:5.1.3.13 EC:2.7.7.24 EC:4.2.1.46 EC:3.6.1.41
361,JN581996,Cluster_0233218 Cluster_0330447 EC:5.1.3.26 Cluster_1673344 Cluster_1608203 Cluster_0417016 Cluster_1188528 Cluster_1787479 Cluster_0341619 Cluster_0667928 Cluster_1388674 Cluster_1523812 EC:3.6.3.40 Cluster_1794909 Cluster_0327545 Cluster_1192257 Cluster_1260795 Cluster_0179000 Cluster_0546719 EC:5.1.3.13 EC:2.7.7.24 EC:4.2.1.46 EC:3.6.1.41
362,JN581997,EC:3.6.1.41 EC:4.2.1.46 EC:2.7.7.24 Cluster_1739068 EC:1.1.1.133 Cluster_0679171 EC:3.6.3.40 Cluster_1235188 EC:5.1.3.25 Cluster_0896429 Cluster_1379156 Cluster_0617785 Cluster_1083678 Cluster_1179417 Cluster_1423800 Cluster_0316478
363,JN587270,Cluster_1756097 Cluster_1647508 Cluster_0071851 Cluster_0515769 Cluster_1044346 Cluster_1845293 Cluster_0674135 Cluster_1466626
364,JN587271,Cluster_1281899 Cluster_1647508 Cluster_1756097 Cluster_0071851 Cluster_0515769 Cluster_1044346 Cluster_1845293
365,JN587272,Cluster_1227948 Cluster_1756097 Cluster_1647508 Cluster_0071851 Cluster_1044346 Cluster_1505964 EC:2.7.11.1 EC:2.6.1.13
366,JN674503,Cluster_1670584 Cluster_0983725 Cluster_1752092 Cluster_0575339 Cluster_1363571 Cluster_1760068 Cluster_0148800 EC:2.7.2.8 Cluster_0231832 Cluster_1374484 EC:1.1.1.276 Cluster_1629803 Cluster_1854772 Cluster_0928848 Cluster_0794677 Cluster_1672728 Cluster_0362592 Cluster_1207787 Cluster_0739631 Cluster_1636261 Cluster_1596070 Cluster_1576344 EC:3.6.3.8 Cluster_0663771 Cluster_1041369 Cluster_1585997 Cluster_0738213 Cluster_0970312 Cluster_0659041
367,JN688154,EC:1.3.1.86 Cluster_1634141 Cluster_0186698 Cluster_0698557 Cluster_1249834 Cluster_1034645 Cluster_0276379 Cluster_1445695 EC:2.2.1.2 EC:2.3.1.94 EC:4.2.1.119 Cluster_0012127 EC:2.2.1.2 Cluster_0178747 Cluster_1879717 Cluster_0996684 Cluster_1397627 EC:2.6.1.50 EC:1.1.3.6
368,JN712209,EC:1.21.99.1 Cluster_0392103 Cluster_0874193
369,JN712210,EC:1.21.99.1 Cluster_0392103 Cluster_0874193
370,JN712212,EC:1.21.99.1 Cluster_0392103 Cluster_0874193
371,JN712213,EC:1.21.99.1 Cluster_0392103 EC:2.7.7.48
372,JN712214,EC:1.21.99.1 Cluster_0392103 Cluster_0970585
373,JN712215,EC:1.21.99.1 Cluster_1453232 Cluster_0874193
374,JN712216,EC:1.21.99.1 Cluster_0392103 Cluster_0874193
375,JN873921,Cluster_1617184 Cluster_1480057 Cluster_0969413 Cluster_0424447 Cluster_1861847 Cluster_0652876 Cluster_0580918 Cluster_1328707 Cluster_0610713
376,JQ307220,Cluster_1776660 Cluster_0140170 Cluster_0815959 Cluster_1592525 Cluster_0840679 Cluster_0615709 Cluster_1838234 Cluster_1499551 Cluster_0425289 Cluster_1725760 Cluster_0409890 Cluster_0010409 Cluster_1238146 Cluster_0858890 Cluster_1133628 EC:2.1.1.197 EC:1.11.1.21 Cluster_1912886 Cluster_0642208
377,JQ348075,Cluster_0730452 Cluster_1206131 Cluster_0111092 EC:4.2.1.17 Cluster_1595226 EC:1.13.11.80 EC:2.3.1.74 EC:6.2.1.3 Cluster_0811788 EC:6.2.1.3 Cluster_0306821 Cluster_0877752 Unknown Unknown
378,JQ432565,Unknown Cluster_1783926 EC:3.6.3.48 Cluster_1624478 Cluster_1411147 Cluster_1408046 Cluster_0268143 Cluster_0906686 EC:5.3.3.2 Cluster_0571584 Cluster_1241436 Cluster_0161153
379,JQ432566,Cluster_1187942 Cluster_1570875 Cluster_1478563 Cluster_1209596 Cluster_1598479 EC:5.3.3.2 Cluster_0704579 Cluster_0311196 Cluster_0372268 Cluster_1015282 Cluster_0669997 Cluster_0702180 EC:2.7.2.4 EC:4.1.2.56 EC:4.1.99.20 Cluster_1520756 Cluster_0992190 Cluster_0375649 EC:1.3.1.28 Cluster_1141962 Cluster_0095464 Cluster_1144101 Cluster_0266807 Cluster_1586535 Cluster_0839379
380,JQ435497,EC:1.1.1.100
381,JQ659263,Cluster_0182474 EC:2.5.1.6 Cluster_0629134 EC:2.1.1.13 Cluster_0095005 EC:2.3.1.180 Cluster_0297228 Cluster_1646266 EC:5.3.3.2 EC:2.7.1.36 Cluster_1510422 Cluster_0614931 Cluster_0501458 Cluster_0095367 EC:1.10.2.2 Cluster_1511541 Cluster_0461569 Cluster_0053760 Cluster_0690148 EC:3.3.2.1 EC:4.1.3.27 EC:5.3.3.17 Cluster_0015192 Cluster_0229101 EC:2.3.1.180 Cluster_0177475 EC:1.6.5.2 Cluster_0750400 Cluster_1378975 Cluster_0440153 EC:2.3.1.74 Cluster_1288347 Cluster_1197877 Cluster_0702694 Cluster_0072252 Cluster_0976230 Cluster_0052552 Cluster_0579131 Cluster_1520337 Cluster_1411243 Cluster_1833981 Cluster_1061630 Cluster_0485173
382,JQ732181,EC:1.14.19.9 Cluster_1541424 Cluster_0409498 Cluster_0533991
383,JQ771052,Cluster_1706248 Cluster_0669963 Cluster_1795693 Cluster_0359737 Cluster_1762676 Cluster_0101362 EC:4.2.1.59 Cluster_1380733 EC:6.2.1.26 Cluster_0046210
384,JQ783347,Cluster_0886900 Cluster_0569183 Cluster_1136927 Cluster_1521682 Cluster_0388598 Cluster_1785364 Cluster_0315652 Cluster_1721173 Cluster_1109085 Cluster_1133874 Cluster_0181604 Cluster_1535785 EC:5.3.1.28 EC:2.7.1.168 Cluster_0692706 EC:1.1.1.133 EC:5.1.3.13 EC:2.7.7.24 EC:4.2.1.46 EC:3.6.1.41
385,JQ901494,Cluster_0416965 Cluster_0922937 Cluster_0229435 Cluster_0700356 Cluster_1062899 EC:6.3.2.47 Cluster_1826383
386,JQ904469,Cluster_1437453 Cluster_0349223 Cluster_1912052 Cluster_0961769 Cluster_0812464
387,JQ911524,Cluster_1305076 Cluster_1223388 Cluster_0924851 Cluster_0223216 Cluster_1423487 EC:1.13.11.27 EC:1.1.3.15 EC:2.6.1.103 Cluster_0337410 Cluster_1538858
388,JQ945188,Cluster_0836435 Cluster_1035636 Cluster_0473999 Cluster_1154133 Cluster_0678798
389,JQ951949,EC:1.14.13.180 Cluster_0115489 Cluster_0231832 EC:2.3.1.179 Cluster_0344250 Cluster_0970700 Cluster_1302524 Cluster_0902738 Cluster_1639728
390,JX072969,Cluster_0918368 Cluster_0457316 EC:1.1.1.332 Cluster_0788127 EC:2.1.1.261 Cluster_0019973 EC:2.5.1.34 Cluster_1790783
391,JX131329,Cluster_1606680 Cluster_1579119 Cluster_1081380 Cluster_0393255 Cluster_0237307 Cluster_0031824 Cluster_1872903 Cluster_0052267 Cluster_1052665 Cluster_1867137 Cluster_1585217 Cluster_1087910 EC:1.13.11.11 Cluster_1396733
392,JX137118,Cluster_1517419 Cluster_0264961 Cluster_1196035 Cluster_1629878 Cluster_0491710 Cluster_1834639 Cluster_1823601 Cluster_1433175 Cluster_0990255 Cluster_1652667 Cluster_0554161 Cluster_0059161 Cluster_0524311 Cluster_1860093 Cluster_0718003 EC:3.7.1.3
393,JX174443,EC:2.6.1.11 EC:3.1.3.25 Cluster_1869147
394,JX402756,Cluster_1227948 Cluster_1756097 Cluster_1647508 Cluster_1044346 Cluster_1845293 EC:2.7.11.1
395,JX421684,Cluster_0207239 Cluster_0252035 Cluster_0793704 Cluster_0975788 Cluster_1340063 Cluster_0175956 Cluster_0191017 Cluster_1806830 Unknown Cluster_1259222 Cluster_0447434 Cluster_1876612 Cluster_1824519 EC:3.6.1.3 Unknown Cluster_1071031 EC:2.7.11.1 Cluster_0254875 EC:2.7.11.1 Cluster_1789540 Cluster_0178720
396,JX421685,Cluster_0350895 Cluster_1507843 Cluster_0290350 Cluster_1811368 Cluster_1740616 Unknown Cluster_1649533 Cluster_1337472 EC:2.3.3.13 Cluster_1857680 EC:1.1.1.85 Cluster_0700574 Cluster_1821815
397,JX470548,Cluster_0685150 EC:2.7.1.59 EC:3.5.4.25 EC:4.2.1.46 Cluster_1043709 Cluster_0838663 Cluster_0878582 Cluster_1908237 Cluster_0140316 Cluster_1845293 Cluster_1151579 Cluster_1649005 EC:1.1.1.133 EC:2.7.7.24 EC:4.2.1.46 Cluster_1756199 Cluster_1775423 Cluster_0633115 Cluster_0311861 Cluster_0249760 Cluster_1452469 Cluster_0900576 Cluster_0116278 Cluster_0591221
398,JX470549,Cluster_1043709 EC:3.1.11.2 Cluster_0838663 Cluster_0878582 Cluster_1180069 Cluster_0762150 Cluster_1845293 Cluster_1121844 Cluster_1649005 EC:1.1.1.133 Cluster_0618865 EC:4.2.1.46 Cluster_1576911 Cluster_1756199 Cluster_1775423 Cluster_0633115 Cluster_1141956
399,JX827252,EC:1.1.3.6 Cluster_1198284 EC:2.6.1.50 Cluster_1397627 Cluster_0996684 Cluster_1879717 Cluster_0178747 EC:2.2.1.2 Cluster_0012127 EC:4.2.1.119 EC:2.3.1.94 EC:2.2.1.2 Cluster_1445695 Cluster_0276379 Cluster_1034645 Cluster_1249834 Cluster_0698557 Cluster_0186698 Cluster_1634141 EC:1.3.1.86 Cluster_1374484
400,KC188778,Unknown Cluster_0923228 EC:2.7.8.7 Cluster_1640382 Cluster_0991226 Cluster_0266248 Cluster_0069530 Cluster_1199471 Cluster_0397990 Cluster_0841848 Cluster_0186645 Cluster_0567111 Cluster_0706650 Cluster_1241567 Cluster_0814059 Cluster_0540862 Cluster_0471020 Cluster_1859398 Cluster_1722574 Cluster_1030338 EC:6.2.1.26 Cluster_0368722 Cluster_0471020 Cluster_1239576 Cluster_1494502 Cluster_0477286 Cluster_1444890
401,KC297506,Cluster_0578224 Cluster_0976516 Cluster_0647964 Cluster_0735646 Cluster_0506722 EC:6.2.1.3 Cluster_0722397 Cluster_1834639 Cluster_0541330 Cluster_0922191 Cluster_1370069 EC:2.6.1.84 Cluster_1250155 Cluster_0697470 Cluster_0960622 Cluster_0460494
402,KC407995,Cluster_1686933 Cluster_0996177 Cluster_1140586 Cluster_1749263 Cluster_0269720 Cluster_1446920 Cluster_0953746 EC:6.2.1.3 Cluster_1246259
403,KC407996,EC:6.2.1.3 Cluster_1314612 Cluster_0776932 Cluster_1850807 Cluster_1104944 Cluster_1791367 Cluster_0709752 EC:2.1.1.197 EC:2.6.1.76 EC:6.2.1.3 Cluster_0534204 Cluster_0231832 Cluster_1088489 Cluster_1269702 EC:2.4.1.13 EC:6.2.1.3 Cluster_0386867 Cluster_1121844 Cluster_1177038 Cluster_1372339
404,KC415250,Cluster_1481595 Cluster_1023634 EC:2.7.13.3 Cluster_1790783 Cluster_1539155 Cluster_0796029
405,KC514471,EC:6.2.1.26 Cluster_1736100 Cluster_0455837 EC:4.2.1.136 EC:5.3.3.2 EC:2.3.1.94 EC:2.1.1.14 EC:2.3.1.94 Cluster_0808464 Cluster_1277514 Cluster_1470705 EC:2.1.1.104 Cluster_1382638 EC:3.1.2.14 Cluster_1107084 EC:4.2.1.79 Cluster_0152144 Cluster_1272375 Cluster_0659041 Cluster_0451256 EC:2.7.13.3 Cluster_0244202 EC:3.6.3.12
406,KC516868,Cluster_0901791 Cluster_0065906 Cluster_1041369 Cluster_1745146 Cluster_0132866 Cluster_0364648 Cluster_1443478 Cluster_1857355 EC:5.99.1.2 Cluster_0213060 Cluster_1914500 Cluster_0970273 Cluster_1772837 Cluster_0129493 Cluster_0220295 EC:3.4.24.69 Cluster_1149335 Cluster_0877986 Cluster_0613347 EC:5.99.1.2 EC:3.6.4.13 Cluster_1317816 Cluster_0329173
407,KC516869,Cluster_0901791 Cluster_0065906 Cluster_1041369 Cluster_1745146 Cluster_0132866 Cluster_0364648 Cluster_1443478 Cluster_1857355 EC:5.99.1.2 Cluster_0213060 Cluster_1914500 Cluster_0970273 Cluster_1772837 Cluster_0129493 Cluster_0220295 EC:3.4.24.69 Cluster_1149335 Cluster_0877986 Cluster_0613347 EC:5.99.1.2 EC:3.6.4.13 Cluster_1317816 Cluster_0329173
408,KC516870,Cluster_0901791 Cluster_0065906 Cluster_1041369 Cluster_1745146 Cluster_0132866 Cluster_0364648 Cluster_1443478 Cluster_1857355 EC:5.99.1.2 Cluster_0213060 Cluster_1914500 Cluster_0970273 Cluster_1772837 Cluster_0129493 Cluster_0220295 EC:3.4.24.69 Cluster_1149335 Cluster_0877986 Cluster_0613347 EC:5.99.1.2 EC:3.6.4.13 Cluster_1317816 Cluster_0329173
409,KC516871,Cluster_0901791 Cluster_0065906 Cluster_1041369 Cluster_1745146 Cluster_0132866 Cluster_0364648 Cluster_1443478 Cluster_1857355 EC:5.99.1.2 Cluster_0213060 Cluster_1914500 Cluster_0970273 Cluster_1772837 Cluster_0129493 Cluster_0220295 EC:3.4.24.69 Cluster_1149335 Cluster_0877986 Cluster_0613347 EC:5.99.1.2 EC:3.6.4.13 Cluster_1317816 Cluster_0329173
410,KC516872,Cluster_0901791 Cluster_0065906 Cluster_1041369 Cluster_1745146 Cluster_0132866 Cluster_0364648 Cluster_1443478 Cluster_1857355 EC:5.99.1.2 Cluster_0213060 Cluster_1914500 Cluster_0970273 Cluster_1772837 Cluster_0129493 Cluster_0220295 EC:3.4.24.69 Cluster_1149335 Cluster_0877986 Cluster_0613347 EC:5.99.1.2 EC:3.6.4.13 Cluster_1317816 Cluster_0329173
411,KC688274,Cluster_0574590 Cluster_1666696 EC:3.4.13.22 EC:6.3.2.4 EC:6.3.2.10 Cluster_0457316 Cluster_1343860 Cluster_0608304 EC:2.7.7.4 EC:2.7.7.4 Cluster_0103885 Cluster_1191820 Cluster_0488338 Cluster_1408393 Cluster_1884079 Cluster_1121844 Cluster_0247963 Cluster_0758398 Cluster_1660792 Cluster_1185329 Cluster_1743481 Cluster_0907559 Cluster_1115734 EC:2.4.1.310 Cluster_1606149 Cluster_0469508 EC:2.6.1.103 Cluster_0347655 Cluster_0348336 Cluster_1345084 EC:1.13.11.27 EC:1.1.3.15 EC:2.3.1.74 Cluster_1104033 EC:1.13.11.80 Cluster_1690366 Cluster_0674135
412,KC699835,Cluster_1082635 Cluster_0276221 Cluster_1072311 Cluster_1192917 EC:4.2.1.126 Cluster_0396071 Cluster_0860564 Cluster_0113980 Cluster_0659041 Cluster_1362396 EC:6.2.1.3 Cluster_0073190 EC:2.1.1.197 EC:6.2.1.3 Cluster_0951807 Cluster_0304335 Cluster_1788038
413,KC733813,Cluster_1248481 Cluster_0387320 Cluster_0279797 Cluster_0869132 Cluster_0568127 EC:2.6.1.44 Cluster_0195138 Cluster_1113546 Cluster_1907652 Cluster_1852187 Cluster_0970273
414,KC787694,Cluster_0272128 Cluster_1902370 Cluster_1434017 Cluster_1020038 Cluster_1880516 Cluster_0920754 Cluster_0365966 Cluster_0912005 Cluster_0820648 Cluster_0864922 Cluster_1551024 Cluster_1841688 Cluster_0402868 Cluster_1770155
415,KC836748,Cluster_1356845 Cluster_0551370 Cluster_1008493 Cluster_0397911 EC:2.6.1.9 Cluster_1219505 Cluster_0229316 Cluster_0304335 Cluster_0135894 EC:1.1.1.170 Cluster_1545491 Cluster_1857301 Cluster_0665080
416,KC915040,Cluster_1258042 Cluster_0398541 Cluster_0897584 Cluster_0074328 Cluster_1215358 Cluster_1187853 EC:1.14.13.59 Cluster_0401580 Cluster_0375649 Cluster_1034466 Cluster_0746949 EC:6.2.1.3 Cluster_1608727 EC:6.2.1.3 Cluster_1463851 Cluster_0062253 Cluster_0018376 Cluster_1433175 Cluster_1206131
417,KC920437,Cluster_1649776 Cluster_1845293 Cluster_0674135
418,KC920438,Cluster_1647508 Cluster_1756097 Cluster_0071851 Cluster_1044346
419,KC935381,Cluster_0515769 Cluster_0291763 Cluster_0579131 Cluster_0622874 Cluster_0785759 Cluster_0020279 Cluster_0821836 Cluster_0838311 Cluster_1860349 Cluster_0083884 Cluster_1044448 Cluster_0170979 Cluster_0022569 Cluster_0179808 Cluster_0526096 Cluster_0079618 Cluster_0727652 Cluster_1905109 Cluster_1256060 EC:6.1.2.2 Cluster_1842274 Cluster_0477168 Cluster_1858510 Cluster_1385877 Unknown Cluster_0385013 Cluster_1545491
420,KC970519,Cluster_0916003
421,KC970537,Cluster_1649776
422,KC970554,Cluster_1647508
423,KC970555,Cluster_1647508
424,KC970572,Cluster_0674135
425,KC970573,Cluster_0674135
426,KC970574,Cluster_1756097
427,KC970575,Cluster_0674135
428,KC970576,Cluster_0071851
429,KC970577,Cluster_1845293 Cluster_1044346 Cluster_1649776
430,KC970578,Cluster_0674135 Cluster_1845293 Cluster_1649776 Cluster_1044346 Cluster_0071851 Cluster_1756097 Cluster_1647508
431,KC970579,Cluster_1647508 Cluster_1756097 Cluster_0071851 Cluster_1044346
432,KC970580,Cluster_1647508 Cluster_1756097 Cluster_0071851 Cluster_1044346
433,KC970581,Cluster_1647508 Cluster_1756097 Cluster_0071851 Cluster_1044346
434,KC970582,Cluster_1845293
435,KC970583,Cluster_1649776 Cluster_1845293 Cluster_0674135
436,KC970584,Cluster_1649776 Cluster_1845293
437,KC989569,EC:2.1.1.261 EC:1.5.1.46 EC:1.3.1.100 Cluster_0363649 EC:2.5.1.34 Cluster_0918368 Cluster_0457316 EC:1.1.1.51 EC:6.2.1.3
438,KC989570,Cluster_1019729 Cluster_1427691 EC:2.1.1.261 EC:1.3.1.100 Cluster_0558025 EC:2.5.1.34 Cluster_0918368 Cluster_0457316 EC:1.1.1.51 Cluster_1346131
439,KF017602,Cluster_1554165 Cluster_1204484 Cluster_0092832 Cluster_1243812 Cluster_1584123 Cluster_0105266 EC:2.1.1.104 Cluster_1169547 Cluster_1158071 Cluster_0103885 EC:3.1.1.4 EC:2.2.1.2 Cluster_1879687 Cluster_0309023 Cluster_0265090 Cluster_0132866 Cluster_1388208 Cluster_0916223 Cluster_1468348 Cluster_0519424 Cluster_1102752 Cluster_1906196 Cluster_1250383 Cluster_1550301 Cluster_1706981 Cluster_1826404
440,KF056862,Cluster_1634141 Cluster_1198284 Cluster_0591994 Cluster_0242420 Cluster_0028570
441,KF056863,Cluster_0582877 Cluster_1076899 Cluster_0656826 Cluster_1385590 Cluster_1850108 Cluster_0930677 Cluster_0471783 Cluster_1149074 Cluster_0539419 Cluster_1713622 Cluster_1235188 Cluster_1847982 EC:1.3.1.98 Cluster_0815458 Cluster_0686786 Cluster_1486696 Cluster_0714008 Cluster_0544057 Cluster_1538385 EC:3.1.26.5 Cluster_0739784 Cluster_0804822 EC:5.3.3.2 Cluster_0019974 Cluster_0083884 Cluster_1413913 Cluster_0151666 Cluster_1562510 Cluster_1859307 Cluster_0971311 Cluster_1168348 Cluster_0051199 Cluster_0095464 Cluster_0107316
442,KF158418,Cluster_1879687 Cluster_0471687 Cluster_0230491 EC:1.1.1.14 Cluster_0145590 EC:2.1.1.172 Cluster_1263141 Cluster_0646080 Cluster_0037556 Cluster_1670689 Cluster_1805125 Cluster_1886174 Cluster_0680208 Cluster_1294968 Cluster_0755054 Cluster_1174040 Cluster_0717380 Cluster_0115647 Cluster_0190506 Cluster_1879687 Cluster_1849993 Cluster_0755054 Cluster_1885886 Cluster_0855778 Cluster_0038937
443,KF170321,Unknown Cluster_1391106 EC:2.1.1.77 EC:2.6.1.106 Cluster_0690754 Cluster_0883682 EC:5.1.3.27 EC:2.1.1.237 EC:1.14.13.186 Cluster_0561409 Cluster_0090422 EC:2.4.1.317 Cluster_1112380 EC:3.1.2.14 EC:4.2.1.46 EC:2.7.7.24 Cluster_1639375 EC:2.3.1.94 Cluster_1353147 Cluster_0353140 Cluster_1392856 Cluster_1649776 EC:2.3.1.94 EC:2.3.1.239 EC:2.3.1.94 EC:2.3.1.94 Cluster_0258714 EC:2.4.1.316 EC:2.1.1.235 EC:1.3.1.86 Cluster_1816528 Cluster_1192257 Cluster_0067576 Cluster_0533728 Cluster_0886357 EC:2.4.1.318 Cluster_1058093 Cluster_1884933 Cluster_1791264 Cluster_1123659 Cluster_1100932 EC:1.1.1.100 Cluster_0598547 Cluster_1019220 Cluster_0907692 Cluster_1780530 Cluster_1121618 Cluster_0966326 Cluster_0626518 EC:2.3.1.179 Cluster_1058708 Cluster_1036355 Cluster_0825757 Cluster_1072311 Cluster_1423625
444,KF170322,Unknown Cluster_0186645 Cluster_1097999 Cluster_1586322 Cluster_1267225 Cluster_0077782 Cluster_0295176 Cluster_1081848 Cluster_0941194 Cluster_0615369 EC:2.3.1.94 Cluster_1058411 EC:2.3.1.94
445,KF170323,Cluster_1700351 Cluster_1846483 Cluster_0232228 Cluster_0567274 Cluster_1230993 EC:6.3.1.2 Cluster_0244405 Cluster_1249689 Cluster_0849311 EC:6.3.1.2 Cluster_1303795 EC:1.14.13.20 Cluster_0495195 Cluster_1595810 EC:2.3.1.179 Cluster_0691800 Cluster_1588779 Cluster_0966326 Cluster_1434206 Cluster_1613944 Cluster_1446140 Cluster_1269672 EC:2.8.1.8 Unknown Cluster_0756188 Cluster_0515769 Cluster_0651137 Cluster_0727651 Cluster_1066892 Cluster_0480560 Cluster_0944673 Cluster_1203078 EC:1.8.1.4 Cluster_1596927 Unknown
446,KF170324,Cluster_0447434 Cluster_1176631 Cluster_0555488 Cluster_1446096 Cluster_0866640 Cluster_1556572 EC:2.4.1.278 Cluster_1277514 Cluster_0737629 Cluster_0176575 Cluster_0740931 EC:3.6.3.12 Cluster_1458774 Cluster_1870314 Cluster_0029250 Cluster_1061939 EC:2.3.1.94 Cluster_0105266 Cluster_0401416 Cluster_1740254 Cluster_1378728 Cluster_1619086 Cluster_0866292 Cluster_0447434 Cluster_0325666 Cluster_1448802 Cluster_1126027 Cluster_0915716 Cluster_1132132 EC:1.1.1.100 Cluster_0230212 Cluster_1106070 Cluster_0594101 Cluster_0621531 Cluster_0374077 Cluster_0698491 Cluster_1181499 Cluster_1521030 Cluster_1770730 Cluster_1339321 Cluster_0976516
447,KF170325,EC:2.3.1.94 Cluster_0401416 Cluster_1740254 Cluster_1378728 Cluster_1619086 Cluster_0866292 Cluster_0447434 Cluster_0325666 EC:3.5.1.101 Cluster_1126027 Cluster_0915716 Cluster_1132132 EC:1.1.1.100 Cluster_0230212 Cluster_1106070 Cluster_0594101 Cluster_0621531 Cluster_0374077 Cluster_0698491 Cluster_1181499 Cluster_1521030 Cluster_1770730 Cluster_1339321 EC:2.3.1.165 EC:4.2.1.119 EC:2.3.1.38 EC:2.3.1.94
448,KF170326,Cluster_1483869 EC:5.3.1.5 EC:2.7.1.17 Cluster_0939003 Cluster_0332360 Cluster_1036696 Cluster_0269720 Cluster_0132907 Cluster_1884054 Cluster_1243094 Cluster_0738376 Cluster_1240216 Cluster_1465632 Unknown Cluster_1475552 Cluster_0274317 Cluster_1118376 Cluster_0498036 Cluster_0805550 Cluster_0253422 Cluster_0095464 Cluster_1258075 Cluster_0737514 Cluster_1011745 Cluster_1627385 Cluster_0249449 Cluster_1822852 Cluster_1354757 EC:6.5.1.1 Cluster_0823195 EC:1.2.1.79 EC:2.3.1.74 EC:1.14.21.7 Cluster_0237897 Cluster_0244533 Cluster_1356840 EC:3.5.1.88 Cluster_1050037 Cluster_1484623 EC:2.7.1.11 Cluster_1882580 Cluster_0835526 Cluster_0420023 EC:2.6.1.11 Cluster_1742587
449,KF170327,EC:6.3.5.1 EC:6.1.1.17 Cluster_1051209 Cluster_0215808 Cluster_0056228 Cluster_0397053 Cluster_0015633 Cluster_0140431 Cluster_1562334 Cluster_0287969 EC:2.3.1.179 Cluster_1068460 Cluster_0951584 Cluster_1655024 Cluster_1597211 Cluster_0697470 Cluster_1726531 Cluster_1462226 EC:6.4.1.3 Cluster_1038875 Cluster_0097830 Cluster_1422472 Cluster_1263246 Cluster_0317442 Cluster_1860093 EC:3.6.3.25 Cluster_1633604 Cluster_0912400 EC:3.2.1.55 Cluster_0786364 Cluster_1606753 Cluster_0826983 Cluster_0226104 Cluster_0915146 Cluster_0090820 Cluster_1870670 Cluster_0255487 Cluster_0409832 EC:3.1.2.6 Cluster_1637445 EC:4.2.99.18 Cluster_1110137 Cluster_0397133 Cluster_0022288 Cluster_1116706 Cluster_0905938 EC:6.2.1.1 Cluster_1670721 Cluster_0909082 EC:3.1.3.3 Cluster_0559820 Cluster_1340850
450,KF170328,Cluster_1058411 Cluster_1728137 Cluster_1433262 Cluster_0511005 Cluster_0551809 Cluster_0519789 Cluster_1884314 EC:2.3.1.246 Cluster_0168182 Cluster_1463809 Cluster_0582135 Cluster_1637280 Cluster_1160559 Cluster_1744121 Cluster_1028725 Cluster_1776951 Cluster_1648919 Cluster_1154958 Cluster_0327751
451,KF170329,Cluster_1284479 EC:4.4.1.11 Cluster_0941292 Cluster_0388052 Cluster_0874858 Cluster_1129547 Cluster_1050583 Cluster_1714620 Cluster_0951555 Cluster_0116519 EC:1.14.15.11 Cluster_1838152 Cluster_0525992 Cluster_1288521 EC:6.2.1.20 Cluster_1744749 Cluster_1002822 Cluster_1729940 EC:1.1.1.53 Cluster_1275059 Cluster_0986335 Cluster_0709751 Cluster_0890243 Cluster_0951584 EC:3.2.2.27 Cluster_1282429 EC:1.1.1.100 EC:1.1.1.100 Cluster_0819837 Cluster_1128203 Cluster_1261407 Cluster_0222010 Cluster_0919109 Cluster_0424973 Cluster_0951584 Cluster_0159710
452,KF170330,Cluster_1328337 Cluster_0853903 Cluster_1340063 Cluster_0055029 EC:4.2.1.2 Cluster_1125707 EC:4.2.1.81 Cluster_0674135 Cluster_0372882 EC:3.1.3.11 Cluster_0275204 Cluster_0995015 Cluster_0473999 EC:3.1.11.6 Cluster_1053591 EC:1.17.7.4 EC:2.7.1.2 Cluster_0230163 Cluster_1144314 Cluster_0519532 Cluster_0634089 Cluster_0778296 Cluster_0112525 Cluster_0540082 Cluster_1104739 Cluster_1294217 Cluster_1114959 Cluster_0287688 Cluster_1133684 Cluster_1380381 Cluster_1387641 Cluster_0390884 Cluster_0158124 Cluster_1355241 Cluster_1377557 Cluster_0283996 EC:1.14.11.39 Cluster_0824770 Cluster_1087166 Cluster_0513629 Cluster_1510091 Cluster_0601933 Cluster_0997426 Cluster_0659390 Cluster_1446920 Cluster_0569183 Cluster_0303372 Cluster_0768307 Cluster_0021068
